date,anonymized_user,score,content
2022-10-04,사용자1388,5,케이카가 제일믿을만하다고해서 깔았어요 수입차들 게런티 가입으로 수리비용도 부담줄여주고 침수차에대한 보상도 해준다하니까 믿을수있어요
2022-10-04,사용자1411,5,사용하기매우편리해요추천합니다
2022-10-04,사용자1429,5,케이카앱을이용해보니중고차를사고팔고편리하게이용이가능하고거래가편리합니다차에관심이많아서자주이용할것같아요
2022-10-04,사용자1470,5,좋습니다 잘쓸게요
2022-10-04,사용자1476,5,사용하기 편리해요
2022-10-04,사용자1491,5,잘쓰고있어요
2022-10-04,사용자1494,5,많은중고차앱이있지만k car는믿을만하네요~~ 앱도편하게되어있어서검색하기편하고 나중에중고차살때편하게이용할거같애서좋아요~~
2022-10-04,사용자1501,5,다양한중고차 있네요~
2022-10-04,사용자1508,5,세심하고 좋습니다 신뢰가갑니다.만족합니다.
2022-10-04,사용자1514,5,유용한앱입니다
2022-10-04,사용자1524,5,좋습니다 편리하고 깔끔합니다.
2022-10-04,사용자1532,5,자동차 중고시장 믿음이가질않았었는데 이렇게 믿음가는 대기업이 뛰어들게 되다니 좋은거같아요 편리하고 믿음가는 앱이되길바래요
2022-10-04,사용자1542,5,케이카 만족합니다 어플조아요
2022-10-04,사용자1545,5,중고차 구매시 믿음이 안가는 업체들이 많았었는데 케이카 직영중고차는 투명하게 공개된거 같아서 앞으로도 믿고거래할수있을거 같습니다 ^^ 자주이용할게요
2022-10-04,사용자1560,5,사용하기매우좋아요 편리해요추천합니다
2022-10-04,사용자1563,5,중고차에관심이많아져서여기저기알아보는중에케이카에대해알게되어서도움을많이받았습니다~편리하게앱이되있어서보기편하실거예요^^
2022-10-04,사용자1582,5,케이카앱 유용합니다. 잘보겠습니다
2022-10-04,사용자1608,5,온라인거래는 제품을 제대로확인하기 어렵다는단점이 있는데 사진들이나 상태들이 자세히 나와있어서 비교해서 살펴보기 좋네요 직영이라 더믿을수있고 배송까지 해줘서 더편한것같아여
2022-10-04,사용자1612,5,다양한 상품들 비교하면서 볼수있어서 너무너무 편리하네요 앞으로도 새로운업뎃 마니마니해주세요 화잍ㅇ
2022-10-04,사용자1672,5,직영으로믿고 중고거래할수있어서좋아요
2022-10-04,사용자1686,5,직영중고차거래는 케이카가제일좋은거같아요
2022-10-04,사용자1749,5,사용해보니 간편하고 사용하기 쉬워서 좋은것같아요
2022-10-04,사용자1752,4,중고차 구매하려고 다운받았어요 친구가 추천해줬는데 나프지 않은거 같아요
2022-10-04,사용자1760,5,인터페이스도 깔끔하고 사용하기 좋아요
2022-10-04,사용자1766,5,언제나 잘애용중인 앱이라 감사드립니다 번창하세요 오래함께해주세요
2022-09-18,사용자1794,5,정보공유가 정확하다면 세심하고 믿음이 가네요. 좋아요~
2022-09-17,사용자1795,3,서버오류 계속로딩
2022-09-09,사용자1800,1,마케팅 동의하지 않으니까 가입이 안되네요.
2022-09-08,사용자1802,1,비흡연차량이라고 두번홈서비스했는데 담배남새가많이나서 자동차클리닝 대리점에가니 냄새제거를못한다고하네요 홈서비스 안하시는게 정신건강에 이롭습니다 중고차는 직접가서 보고사세요 K카도 거르시구요
2022-08-27,사용자1809,3,예전에는 하부사진 있었는데 이젠없네요??
2022-08-22,사용자1817,1,정상적인 사용이 어려울정도로 에러가 많이나네요
2022-08-16,사용자1825,3,필터가 저장되었음 좋겠음
2022-08-08,사용자1840,1,사용하기힘듬
2022-08-05,사용자1847,5,적극적으로 추천합니다
2022-08-03,사용자1855,1,인터넷 연결중인데도 네트워크 안된다고 종료되네요
2022-07-31,사용자1864,1,찾기불편
2022-07-30,사용자1867,5,아주좋음
2022-07-29,사용자1871,5,새롭게 개편되어 사용하기 편하네요 속도도 빠르네요
2022-07-26,사용자1878,5,중고차시장에 꽃이죠 솔직해서 좋았습니다
2022-07-23,사용자1897,5,좋아요~
2022-07-21,사용자1907,1,엡사용이 많아지면서 검색도 시간이 많이걸리고 화면도 안넘어가는 경우가 많습니다.
2022-07-21,사용자1909,1,업데이트되고 쓰기가 거지같네요
2022-07-20,사용자1914,1,익숙하지 않아서 그런건지 소비자 불편하게 업데이트 해놨네요ㅎ
2022-07-19,사용자1923,5,굿입니다
2022-07-19,사용자1926,5,편리해요
2022-07-19,사용자1930,5,빠르고 디자인 깔끔하네요.
2022-07-19,사용자1932,5,조목조목살펴보기가 좋습니다
2022-07-19,사용자1936,1,업데이트했더니 에러계속됨
2022-07-19,사용자1949,1,업데이트되고나서 못쓸정도가되었는데요..?
2022-07-19,사용자1957,1,버벅거림
2022-07-19,사용자1964,5,만족합니다
2022-07-19,사용자1987,1,이쯤되면 어플에 손댄사람 뚝배기 날려야 되는거 아닌가??
2022-07-19,사용자1997,1,이쯤되면 고객들 열불나게해서 고객들 없애려는 큰그림아닐까
2022-07-18,사용자1998,1,업데이트이후 느려짐.검색하면 다음날아침에도 안될듯
2022-07-18,사용자2000,1,업뎃후 최악ㅜㅜ
2022-07-18,사용자2014,5,실시간 매물확인 가능함!
2022-07-18,사용자2017,1,이번업뎃하고 개느림ㅡㅡ
2022-07-18,사용자2019,5,Good
2022-07-18,사용자2022,4,연비정보가 없어서 아쉬움
2022-07-18,사용자2038,1,왜이렇게불편해요 다른데가서 보는중이에요
2022-07-18,사용자2041,1,만든사람 머리박어라
2022-07-18,사용자2042,2,업데이트하래서했는데.. 더보기도불편하고 심지어계속에러나고 에러화면떠요 느리기도 너무느립니다 불편해요
2022-07-18,사용자2044,1,업데이트후에 너무느리고 멈추고 못쓸정도네요
2022-07-18,사용자2046,5,간편하게보고 조회도 쉬워서 이용하기 편합니다
2022-07-18,사용자2052,5,얼마전 케이카를 통해서 중고차를구입했습니다 가격이 싸진않지만 그만큼 신뢰를할수있어서 잘구입한것같구요 직원분들도 친절하게응대해주시고 취등록세도 남는건 십원한장까지 정확하게돌려주고 좋았습니다 그리고 워런티가있어 교체할것이있어도 걱정이안되네요
2022-07-18,사용자2056,1,느려터져서
2022-07-18,사용자2064,5,인천직영점 화이팅
2022-07-18,사용자2068,1,세부적인 내용이 안떠요 왜그런거죠?
2022-07-17,사용자2077,1,접속이 안되요
2022-07-17,사용자2080,1,접속이 안됩니다
2022-07-17,사용자2083,1,안들어가짐
2022-07-17,사용자2085,1,앱오류 흰색화면에서 진행불가
2022-05-24,사용자2111,1,엄청느립니다 엔카의 3배는 느립니다 몬쓸정도로 느립니다
2022-05-23,사용자2114,1,겁나느림 못쓸정도로느림
2022-05-16,사용자2118,1,네트웤크 어쩌고 하면서 안켜짐 어플관리좀..
2022-05-03,사용자2123,1,한마디로 교활한 4gi꾼
2022-04-26,사용자2125,5,좋습니다
2022-04-18,사용자2127,1,버퍼심함. 왜만든건지?
2022-03-29,사용자2139,1,개느려텨졌네요
2022-03-27,사용자2142,1,중고차보러들어가니 쓰잘데기없는광고만 도배질
2022-03-23,사용자2149,1,관리좀하시오클릭해도넘어가질않네
2022-03-22,사용자2154,1,"버퍼링이 너무심합니다 이용이 불가능할정도인데 개선이 안되네요,,"
2022-03-22,사용자2157,1,이따구로 느린걸 쓰라고 만든건지
2022-03-09,사용자2184,1,조회시 전환이 경쟁사에비해 너무느려요 개선이필요할듯
2022-03-09,사용자2186,1,접속도 안되요
2022-03-08,사용자2194,5,웹페이지의 익숙함을 그대로 앱으로 사용가능해서 좋습니다.
2022-03-02,사용자2214,1,개느림. 못쓰겠음.
2022-03-01,사용자2220,1,이건뭐 쓰라는건지.. 느리고 멈추고 화딱지나서 ..
2022-02-27,사용자2226,1,클릭이 되야사용하지..
2022-02-23,사용자2272,5,디자인이 깔끔하고 직관적이라 사용하기 편리합니다.
2022-02-23,사용자2274,5,UI가 직관적이고 깔끔해서 편리해요
2022-02-23,사용자2278,5,사용하기 편리하고 메뉴가 잘되어있어요
2022-02-18,사용자2295,5,보기편하고 구경하기 좋네요
2022-02-16,사용자2316,5,Kcar에서 중고차매입했는데 정말꼼꼼한설명이었고 지금4년째 잘타고있고 고장한번없어요~3년만타고 다시찾아가겠습니다ㅎㅎ
2022-02-16,사용자2318,5,편리하고 만족합니다
2022-02-16,사용자2324,5,케이카 직영중고차라 거래하기 편하고 한눈에 가격비교되서 편합니다. 렌트도 가능하고 홈서비스생생후기보며 더믿음이 가는것같네요^^
2022-02-16,사용자2335,5,케이카 최고입니다!! 중고차 살때는 케이카 이용하세요!
2022-02-14,사용자2342,3,어플진짜 징하게 느리네요
2022-02-14,사용자2349,1,어플이 왜이렇죠 검색도 안되고
2022-02-14,사용자2363,5,직영차만 있어서 중고차살때 믿을만합니다 팔때도 방문견적 해주셔서 편하겠네요 어플도 간편해서 좋아요
2022-02-13,사용자2369,4,렉이너무심하네요
2022-02-09,사용자2383,3,엄청느림
2022-02-09,사용자2385,1,어플답답 너무느리고 이상하네요
2022-02-06,사용자2395,1,버벅거림 오지게 심하네요
2022-02-02,사용자2433,1,너무느림
2022-01-24,사용자2457,1,버그오짐
2022-01-23,사용자2465,1,왜이리 느려진건가요?
2022-01-23,사용자2467,1,검색이 엄청느리네요 관리좀하시죠
2022-01-23,사용자2472,1,어플좀 클릭도 안되고 로딩은 왜이렇게 오래걸려요? 아무것도 안되는데
2022-01-10,사용자2486,5,케이카 처음이용하는데 와이프가 초보운전자라 네비블박후방카메라가꼭있어야해요 상세설정으로 볼수있고 집에서 누워서 겨울에 따뜻하게 차를고르고 구매할수있고 추워서나가기싫은데 홈서비스로 집앞까지 가져다주시니 너무편리하고좋아요^^ 중고차라 고장부분도신경쓰일텐데 6갤로 보증보험넣어서고장걱정이없네용
2022-01-08,사용자2491,5,국산차와 수입차 그리고 제조사별 다양한 모델의 차량을 다양한 사양으로 비교하여 선택할수 있도록 구성되어 중고차 구매를 고민하는 소비자에게 상당히 유용한 앱인거 같아요.
2022-01-07,사용자2498,5,허위매물없는 케이카 적극추천합니다
2022-01-04,사용자2518,5,신뢰됩니다
2021-12-31,사용자2521,1,개별로임
2021-11-20,사용자2570,5,내차팔기 견적은 직접와서 봐주시는데 공짜임 내차사기 홈서비스신청했는데 품질개선중인상품이라 기다리는중 직접가서 보고싶은마음도있는데...바꿀수있을까? 상담진행하고 계약금넣었더니 어플에서 더이상 차량정보를볼수가없음..이건좀불편하네요 계속뭔가 비교도해보고싶고 사진으로라도빼먹은게있나 확인하고해야할텐데
2021-10-19,사용자2593,1,매물은 좋은데 어플은 쓰레기
2021-10-17,사용자2594,5,중고차 가격도 저렴하고 직영이라 믿을수 있네요
2021-10-06,사용자2609,1,뒤로가기 수정좀해주세요 불편해서 써먹질못하겠음
2021-10-06,사용자2615,5,사용도 편리하고 보증도 확실하네요
2021-10-06,사용자2620,5,지인들에게 추천합니다 빠르고 간편하게 앱으로 중고차를 사고팔고 하네요ㅋ
2021-10-06,사용자2627,5,앱사용이 전반적으로 편하네요 유재석씨가 광고모델로 떡하니 있으니 믿고보자 유재석~♡
2021-10-06,사용자2630,5,중고차 사고팔때 시세볼수있어 편하네요!!
2021-10-06,사용자2632,5,중고차도 믿고구매할수있는 정보가필요했는데 케이카 직영중고차덕분에 중고차고민덜었습니다 앞으로도 좋은서비스기대할께요
2021-10-06,사용자2637,5,사용하기 편리하고 좋아요
2021-09-26,사용자2655,5,검색기능이 편리하고 인터페이스가 깔끔해 마음에 듭니다
2021-09-15,사용자2659,4,무난한 편입니다
2021-08-29,사용자2667,5,첫운전을 하기위해중고차가필요했는데 나에게딱인 차를검색해서 내집앞으로 가져다주니정말편하게이용할수있었어요 나에게 꼭필요한 앱이될것같아용
2021-08-19,사용자2671,5,내차팔기 했는데 친절하시고 일처리 깔끔하게 처리됐습니다.
2021-08-18,사용자2676,5,좋습니다 엔카보다 상세하게 차량설명도 볼수있고 검색도 가능합니다
2021-08-18,사용자2696,5,홈서비스는 중고차 구하는 방법중 최고입니다.
2021-08-16,사용자2698,1,비싸도 너무비쌈
2021-08-15,사용자2699,5,전국에있는 모든중고차를 핸드폰하나로 자세히알아보니 너무편하고좋내요
2021-08-10,사용자2705,1,너무비싸네요‥
2021-07-26,사용자2711,5,신속도 신뢰도 100%
2021-06-26,사용자2739,3,끊기고 오류나고 자동로그아웃 풀립니다.
2021-06-25,사용자2740,3,앱깔라는 판업좀 줄여주세요
2021-06-17,사용자2750,5,좋아요.
2021-06-06,사용자2773,1,다른중고차마켓에비해서 월등히비쌈 여기보다 차비싼곳있으면 제차드립니다 여기중고차사이트중 제일비싸네요
2021-05-28,사용자2782,4,탭에서 가로모드가 되지를 않습니다. 텝에서 가로모드도 사용가능하게 해주세요.
2021-05-21,사용자2785,5,번창하세요~
2021-05-17,사용자2796,5,다양한차종의중고가격을알수있어편리해요
2021-05-16,사용자2803,1,앱실행 렉있을땐 너무느림
2021-05-08,사용자2828,5,김포점에서 중고차 샀습니다. 만족합니다.
2021-05-05,사용자2835,3,다좋은데 어플이 무거운건가 검색하거나 뭐버려고누르기만하면 로딩시간이긴건지 진행이안됩니더 예전에쓸땐안그랬는데 촤근어플이많이이상해진거같습니다 버벅거림도심하고 검색하려고클릭해도 바로안뜨고 최소몇초거나 아예진행안될때도있습니다
2021-05-02,사용자2844,5,사용이 편리함
2021-04-29,사용자2861,5,중고차를 한눈에 간편하게알아볼수있어서 너무좋았어요!
2021-04-26,사용자2886,5,좋네요 정보도 볼수있고 어플렉도안걸리고 검색도 편하게 가능해요 잘사용하고있어요~ 차에관해서는 잘몰랐는대 초보도쉬워요
2021-04-26,사용자2893,5,다른앱보다 사용하기 편해요
2021-04-14,사용자2909,5,편리해서 좋아요
2021-04-12,사용자2913,5,보기쉬워요
2021-04-08,사용자2919,1,너무느려요
2021-04-08,사용자2932,5,대한민국 넘버원 어플답게 사용하기 편하고 쉬워서 좋아요♡
2021-04-08,사용자2935,5,중고차 사기당하기쉽상이라 조심스러운데 잘되어있어서 믿음이 가네요
2021-04-08,사용자2936,5,ui가 보기편하고 사용이 편합니다
2021-04-08,사용자2938,5,어플이 렉걸리는것도없고 중고차 어플중엔 탑인것같습니다
2021-04-03,사용자2947,1,왜이래느리노
2021-03-25,사용자2962,1,너무느려요
2021-03-21,사용자2976,1,클릭을해도 반응이 없는데??머이따구야
2021-03-19,사용자3001,5,자동차에대한 자세한설명 너무친절한앱입니다 도움많이됩니다최고같아요 항상번창하세요 감사합니다
2021-03-19,사용자3022,5,사용하기 편해요 중고차 정보도 믿을수있고 감사합니다
2021-03-19,사용자3048,5,사용하기편하네요.좋아요~~~
2021-03-19,사용자3065,5,아주좋은 앱입니다 여러가지로 유익하내요
2021-03-19,사용자3067,5,중고차는 신뢰인거같습니다ㄴ 믿을수있는 kcar로 편리하게 중고차를 선택할수있어요
2021-03-19,사용자3074,5,kcar니까 믿으니까 안전하니까
2021-03-07,사용자3096,5,좋습니다보기쉽게잘되있어요
2021-03-06,사용자3098,5,중고차알아보려고 깔았는데 대체적으로 만족해요~허위매물도없고 믿음이가네요 어플도 속도도빠르고 만족해요
2021-03-06,사용자3138,5,최고최고 정보짱
2021-03-05,사용자3196,5,이앱은 설치해보니까 편리한것같습니다
2021-03-03,사용자3214,5,중고차살때유용합니다.
2021-03-03,사용자3216,5,중고차살때유용한앱입니다
2021-03-03,사용자3218,5,사용하기 편하고 깔끔한 구성이라 굿입니다^^
2021-03-03,사용자3223,4,신성해요
2021-03-03,사용자3225,5,좋은정보가 있네요
2021-02-28,사용자3236,5,중고차 거래를 손쉽게 알아볼수 있어서 kcar 직영차 이용해야죠 편리해서 좋아요
2021-01-31,사용자3308,5,중고차 구매할때 유용한 앱이네요❤❤
2021-01-22,사용자3328,5,이용하기 편해서 좋네요
2021-01-15,사용자3338,5,상세히 잘해줌
2021-01-07,사용자3347,5,편리합니당 한눈에 가격비교가 좋아여
2021-01-06,사용자3350,3,사용하기 편리해요
2021-01-05,사용자3353,5,사용하기 편리하고 깔끔해서 좋아요
2021-01-05,사용자3354,5,검색도 편하고 설명도 자세하게 나와있어서 믿음이가네요~ 번창하세요
2020-11-08,사용자3384,1,검색기능 개느려요ㅠ 차선택하고 로딩개김요 엔카랑 비교되게느려요
2020-10-20,사용자3402,1,자꾸멈춤 느려서 보지도못함
2020-10-05,사용자3419,1,시간좀지낫다하면 렉걸리고 어플관리를 도데체 어떻게하시는건가요
2020-09-30,사용자3427,5,중고차 알아보려고 어플깔았는데 딴어플이나 블로그보다 카테고리 깔끔하게 잘되어있고 찾기편해요 차량도 많은거같고!! 만족하고 이용합니다!!
2020-09-21,사용자3438,1,그저그런사이트
2020-09-20,사용자3443,2,어플에 렉이나 버벅거림이 너무심합니다.
2020-09-12,사용자3450,5,성능평가서 100 조작가능 합니다
2020-09-09,사용자3454,5,조아여~~
2020-09-08,사용자3461,5,차량구매나 중고렌트의 정보가 보기편하게 정리되어있고 다양한 할인프로모션까지 준비되어있어 보기좋네요
2020-09-08,사용자3466,5,차량검색을 무사고 필터할수있어서 좋았어요 보기편합니다 총비용계산도 한눈에볼수있어서 만족합니다
2020-09-08,사용자3479,5,좋아요 😀 👍 😀 👍
2020-09-08,사용자3498,5,일단믿고살수있는중고차사이트라거생각합니다 홈서비스또한너무좋은듯합니다
2020-09-08,사용자3505,5,가격이좀 있지만 허위가없고 믿을수있다
2020-08-24,사용자3528,5,믿음이 갑니다
2020-07-28,사용자3569,1,후져요 가격도 열라비싸
2020-07-22,사용자3579,1,차관리를 제대로해서 파는지 모르겠음
2020-07-19,사용자3582,5,사용하기 편해요~
2020-07-10,사용자3590,1,형편없는
2020-07-07,사용자3595,3,편하긴헌데 좀비싸게판매하네요 허위는없는거같아서 좋긴합니다
2020-07-07,사용자3596,3,좋습니다
2020-07-06,사용자3598,5,만족스러운 사이트 편리함
2020-07-05,사용자3599,5,괜찮아요
2020-07-03,사용자3604,5,좋습니다
2020-07-03,사용자3605,4,K카차량구매해서잘사용하고있습니다
2020-07-02,사용자3608,5,개념있는 매물들로만 이루어짐
2020-07-02,사용자3609,1,3시간째 빙글빙글 도네요
2020-06-24,사용자3618,5,좋다고해서따운
2020-06-22,사용자3621,5,보기편해서 좋아요
2020-05-29,사용자3645,1,다운받고 앱을들어가는데 5분동안 대기를해도들어가지지 않습니다.
2020-05-27,사용자3648,1,인터페이스 개불편함
2020-04-20,사용자3672,5,편리한 선택과 진실성 최고입니다
2020-04-08,사용자3680,5,제미서서에지바로다운로드
2020-03-24,사용자3703,5,중고차를 차종별이나 금액별로 검색하기도 편하고 홈서비스라던지 보증서비스를 통하여 든든하게 운행할수있는 장점이 있네요.
2020-03-22,사용자3708,4,좋은데 요새들어 갑자기 서버문제인지 화면이잘안넘어가네요... 폰문제는 아닌거같은데 확인부탁드립니다
2020-02-27,사용자3742,4,언제나 보기좋아요
2020-02-19,사용자3751,1,네트워크 문제라며 실행안됨
2020-02-18,사용자3752,1,로그인핵저니 휴면회원계정알림 뜨면서 화면이 깜해지고 클릭이안되어 아무것도못합니다.
2020-02-17,사용자3756,1,업뎃하고 맛탱이갔어요.. 확인도 안하는거 같아서 평가드립니다
2020-02-14,사용자3765,1,업뎃이안되서들어갈수가없음ㅡㅡ
2020-02-13,사용자3767,3,다운이 안되는데 왜그래요?
2020-02-11,사용자3776,1,앱업데이트하고 볼수가없음 느려터짐
2020-02-11,사용자3778,1,업데이트되고나서 쓰레기네요.버벅거리고 메뉴는복잡해지고 대체왜더이상하게바꾼건지..
2020-02-11,사용자3783,4,Asome
2020-02-11,사용자3786,5,고맙습니다 잘쓰고있어요
2020-02-10,사용자3795,5,좋다고 판단합니다
2020-02-10,사용자3797,5,앞유리 새제품으로 무료교체 해주고 상태좋고 좋은가격에 샀습니다. 부천점
2020-02-10,사용자3798,1,업데이트되고 검색하기 힘들어짐 예를들어 올뉴k3를 검색하려면 k3검색후 상세검색 한번더해야됨
2020-02-10,사용자3799,5,중고차 검색에 최적화
2020-02-10,사용자3813,5,good
2020-02-10,사용자3818,1,이상해짐
2020-02-09,사용자3826,1,여기도 개차반
2020-01-28,사용자3842,5,궁금해서
2020-01-22,사용자3852,5,사용하기가 너무편하네요
2020-01-10,사용자3865,3,좋은정보감사해요 앱쓰기좋았구 시간절약됐음
